Partlist

Exported from all_in_one_v2.sch at  3/24/2024 10:02:11a

EAGLE Version 4.16r2 Copyright (c) 1988-2006 CadSoft

Part     Value                       Device                          Package                         Library           Sheet

IC26     W65C22S6TBG-14              W65C22S6TBG-14                  DIL40                           07-Retrocomputing 1
IC28     TXB0104D                    TXB0104D                        SOIC14                          07-Retrocomputing 1
IC29     MIC5317_3.3V                MIC5317_3.3V                    SOT23-5                         07-Retrocomputing 1
IC30     TXB0104D                    TXB0104D                        SOIC14                          07-Retrocomputing 1
IC31     TXB0104D                    TXB0104D                        SOIC14                          07-Retrocomputing 1
J2       XRGB                        MINI-DIN8                       MINI_DIN8                       07-Retrocomputing 1
J3       S-VIDEO                     MINI-DIN8                       MINI_DIN8                       07-Retrocomputing 1
J5                                   RCA_CONN_CUI_RCJ-014_CP-1403-ND RCA_JACK_CUI_RCJ-014_CP-1403-ND 07-Retrocomputing 1
J6                                   RCA_CONN_CUI_RCJ-014_CP-1403-ND RCA_JACK_CUI_RCJ-014_CP-1403-ND 07-Retrocomputing 1
J9       DCJ0202                     DCJ0202                         DCJ0202                         con-jack          1
J10      MICROSD_AMPHENOL_GTFP084328 MICROSD_AMPHENOL_GTFP084328     MICROSD_AMPHENOL_GTFP08432B1HR  07-Retrocomputing 1
JP1                                  PINHD-2X3                       2X03                            pinhead           1
JP2                                  PINHD-1X10                      1X10                            pinhead           1
JP3                                  PINHD-1X10                      1X10                            pinhead           1
JP4                                  PINHD-2X30                      2X30                            pinhead           1
MISC                                 PINHD-2X7                       2X07                            pinhead           1
PAR_IO                               PINHD-2X6                       2X06                            pinhead           1
PWR                                  LED3MM                          LED3MM                          led               1
Q1       14.31818M                   CRYSTALHC49S                    HC49/S                          crystal           1
Q2       1.8432M                     CRYSTALHC49S                    HC49/S                          crystal           1
Q3       21.47727M                   CRYSTALHC49S                    HC49/S                          crystal           1
Q4       12M                         CRYSTALHC49S                    HC49/S                          crystal           1
R1       1k                          R-US_R0603                      R0603                           rcl               1
R3       75R                         R-US_R0603                      R0603                           rcl               1
R4       75R                         R-US_R0603                      R0603                           rcl               1
R5       75R                         R-US_R0603                      R0603                           rcl               1
R6       43R                         R-US_R0603                      R0603                           rcl               1
R7       3.32K 1%                    R-US_R0603                      R0603                           rcl               1
R8       75R                         R-US_R0603                      R0603                           rcl               1
R9       75R                         R-US_R0603                      R0603                           rcl               1
R10      240R                        R-US_R0603                      R0603                           rcl               1
R11      4.7k                        R-US_R0603                      R0603                           rcl               1
R12      2k2                         R-US_R0603                      R0603                           rcl               1
R13      2k2                         R-US_R0603                      R0603                           rcl               1
R14      470R                        R-US_R0603                      R0603                           rcl               1
R15      470R                        R-US_R0603                      R0603                           rcl               1
R16      470R                        R-US_R0603                      R0603                           rcl               1
R17      4.7k                        R-US_R0603                      R0603                           rcl               1
R18      4.7k                        R-US_R0603                      R0603                           rcl               1
R19      75R                         R-US_R0603                      R0603                           rcl               1
R20      0R                          R-US_R0603                      R0603                           rcl               1
R23      470R                        R-US_R0603                      R0603                           rcl               1
R24      1k                          R-US_R0603                      R0603                           rcl               1
R25      0R                          R-US_R0603                      R0603                           rcl               1
R26      0R                          R-US_R0603                      R0603                           rcl               1
RN1      4.7K                        G08R                            SIL9                            resistor-sil      1
RN2      4.7K                        G08R                            SIL9                            resistor-sil      1
RN3                                  G08R                            SIL9                            resistor-sil      1
SERIAL                               PINHD-1X6                       1X06                            pinhead           1
T1       MMBT2222A                   MMBT2222ALT1-NPN-SOT23-BEC      SOT23-BEC                       transistor        1
U$2      PUG                         PUG                             LARGE_PUG                       07-Retrocomputing 1
U1       VREG_5V_VR10S05             VREG_5V_VR10S05                 VREG_5V_CP_POWER_VR10S05        07-Retrocomputing 1
U2       ATMEGA238PTQFP_             ATMEGA238PTQFP_                 TQFP32-08                       02_atmel          1
UART_PWR                             PINHD-1X2                       1X02                            pinhead           1
XO1      XODC_32KHZ_OM-7604-C7       XODC_32KHZ_OM-7604-C7           32K_XO_OM-7604-C7               07-Retrocomputing 1
